"","V1","V2"
"1",5.5999851630483,-0.970011615327589
"2",5.59999311389831,-0.969985135234216
"3",5.59999624968631,-0.970002125716526
"4",5.59998375122968,-0.969997253150862
"5",5.59997529922123,-0.969982282898752
"6",5.59999591065079,-0.96999387431994
"7",5.59999670689668,-0.969997690853421
"8",5.60000945965458,-0.970009619349845
"9",5.6000058157672,-0.97001251211075
"10",5.60000277169757,-0.970008926833726
"11",5.59999436746778,-0.970009657212591
"12",5.59998028897359,-0.970015220030175
"13",5.60001003960902,-0.970001917346547
"14",5.60001445950644,-0.970021042320254
"15",5.60000879568179,-0.969988495704141
"16",5.59998729169205,-0.969992932264592
"17",5.59999772774818,-0.970003756255902
"18",5.59998757665788,-0.969987089162236
"19",5.59999353931844,-0.969994987223823
"20",5.59996545795177,-0.970001111687682
"21",5.59999173246076,-0.970016977091894
"22",5.59999081957823,-0.969995822712998
"23",5.60001336102067,-0.970025753743997
"24",5.60000626378949,-0.969993217762966
"25",5.60002994758569,-0.970015465199034
"26",5.60000108588198,-0.969977231975625
"27",5.6000008166344,-0.970018578495134
"28",5.599973115984,-0.969981949078841
"29",5.59998742095042,-0.970003316401566
"30",5.59999186859499,-0.970000996593084
"31",5.60001622025618,-0.969993762247426
"32",5.60002529523467,-0.970000958847704
"33",5.59997942029675,-0.970005192938073
"34",5.60001428455397,-0.970014164003118
"35",5.59999151129309,-0.970006248416525
"36",5.59998862650177,-0.969990768287195
"37",5.59999035656517,-0.970009368622693
"38",5.60001227725994,-0.970012803991307
"39",5.59998624792357,-0.969993822401965
"40",5.59998563000483,-0.970001262467621
"41",5.59999584527019,-0.970033867225227
"42",5.60000229306953,-0.969997502074941
"43",5.59999563904313,-0.969984090189875
"44",5.60000601409147,-0.969998247080802
"45",5.60000150466287,-0.970001994343191
"46",5.60000862923664,-0.96999165743256
"47",5.59998351593544,-0.970008544846918
"48",5.6000086554154,-0.969972292916564
"49",5.60000803545173,-0.969981514140623
"50",5.60000294159329,-0.969996268072279
"51",5.59999760035257,-0.970000595116509
"52",5.59996617960725,-0.970004271969162
"53",5.59997765712189,-0.969988005503595
"54",5.59999978515982,-0.96998526772131
"55",5.59999532812358,-0.969979417760791
"56",5.59999707498746,-0.969992152901978
"57",5.59998637527703,-0.970015533570496
"58",5.59998165561854,-0.969991921145931
"59",5.60000409073636,-0.970007390957562
"60",5.60001204657647,-0.970023389798306
"61",5.60000832331099,-0.969999303173911
"62",5.60000059658374,-0.970005869745096
"63",5.59998707629378,-0.969999113179524
"64",5.59999397679974,-0.969985243898513
"65",5.59999631284738,-0.97000442227263
"66",5.59996525507544,-0.969995697955834
"67",5.59997622793072,-0.969992073239947
"68",5.60000177986146,-0.969997679621715
"69",5.59997077273858,-0.969995625085639
"70",5.59998828647576,-0.97001388288638
"71",5.59998822831113,-0.970002750267149
"72",5.60000596853779,-0.969986223106037
"73",5.5999909314549,-0.970019822417452
"74",5.5999914404942,-0.969995053204226
"75",5.59998077434361,-0.970010925589451
"76",5.59998868798407,-0.97002151327195
"77",5.59998113446219,-0.969989287826022
"78",5.60001494994674,-0.970003612981065
"79",5.6000096031735,-0.970018676200057
"80",5.60000458731509,-0.970014199667002
"81",5.60000152105131,-0.969993958327828
"82",5.59999994103257,-0.970000883126476
"83",5.6000081529353,-0.969974798729234
"84",5.59999193379271,-0.970001726589489
"85",5.59999369127678,-0.970004577244555
"86",5.59999751691117,-0.970016584669367
"87",5.60000487969165,-0.9700036763813
"88",5.59999876651403,-0.9699976021678
"89",5.60000570303071,-0.970006753743564
"90",5.59996575320133,-0.970000982229145
"91",5.60001011476517,-0.969985972266936
"92",5.60001040611129,-0.970016539275099
"93",5.60000685957799,-0.96997531150952
"94",5.59999532720406,-0.969984793760785
"95",5.60000408544246,-0.969999950666464
"96",5.60002001310139,-0.969996624853318
"97",5.60000846352102,-0.970009750701621
"98",5.59998395953078,-0.969998974214852
"99",5.59999975621838,-0.970000253175717
"100",5.6000079774998,-0.96999633470079
"101",5.6000115017904,-0.969986422541325
"102",5.60000313782002,-0.969999659905454
